generation,best,worst,average
49,2.0299990932670653E-7,3.6140815557450523E-4,6.837017161400283E-5
50,2.0299990932670653E-7,3.17365466421915E-4,5.1652071915180285E-5
51,2.0299990932670653E-7,2.253446575717355E-4,3.9714903354308715E-5
52,2.0299990932670653E-7,1.5523669825734387E-4,2.6314940944383024E-5
53,2.0299990932670653E-7,8.180609667229888E-5,1.4406119655028248E-5
54,4.485059079684106E-8,4.011628928157762E-5,1.005696432375025E-5
55,4.485059079684106E-8,4.011628928157762E-5,6.243378797314847E-6
56,4.426791866407598E-8,1.2635679655481624E-5,4.256873285486406E-6
57,4.426791866407598E-8,1.1257754575666468E-5,3.0507887677622137E-6
58,4.426791866407598E-8,7.59873599021077E-6,2.047549740264998E-6
59,3.605875731338415E-8,6.630092619364092E-6,1.4340844396354413E-6
60,3.605875731338415E-8,2.6741235359395432E-6,8.639117608488788E-7
61,1.1323814774755192E-8,2.259214447519753E-6,6.692438299626957E-7
62,1.1323814774755192E-8,1.5543548799179518E-6,4.234431243776982E-7
63,2.72897215936041E-9,1.3004656835846617E-6,3.059868112309516E-7
64,2.72897215936041E-9,1.2451467146235018E-6,2.0845236718081139E-7
65,2.72897215936041E-9,5.952759662974927E-7,1.2697425043839417E-7
66,2.1807000649687325E-11,3.842679245913416E-7,8.12117495385678E-8
67,2.1807000649687325E-11,2.312740581267292E-7,4.909479234704861E-8
68,2.1807000649687325E-11,1.8072072327512956E-7,3.4110446591739674E-8
69,2.1807000649687325E-11,1.4656824065539809E-7,2.1508503467160268E-8
70,2.1807000649687325E-11,6.19095419374105E-8,1.5069974379500195E-8
71,2.1807000649687325E-11,4.317266100173356E-8,1.0441980036191012E-8
72,2.1807000649687325E-11,3.3745514382843567E-8,7.203717178327906E-9
73,2.1807000649687325E-11,1.5537427344725074E-8,4.28702917609769E-9
74,2.1807000649687325E-11,1.1593103810270122E-8,3.15840443576576E-9
75,2.1807000649687325E-11,6.6541816501342055E-9,1.967834117877487E-9
76,8.737011114590132E-12,5.914617240421194E-9,1.4106680090719692E-9
77,8.737011114590132E-12,4.7465933405987926E-9,1.0090482849278716E-9
78,8.737011114590132E-12,3.536717141372492E-9,8.148856611711607E-10
79,8.737011114590132E-12,3.536717141372492E-9,5.487253673663872E-10
80,8.737011114590132E-12,2.1399682026412847E-9,3.80184790316207E-10
81,8.737011114590132E-12,1.2548575512028037E-9,2.762348572105111E-10
82,2.6489921367556235E-12,6.651772466170769E-10,1.7412499886404476E-10
83,2.6489921367556235E-12,4.13779677188586E-10,9.65127533447685E-11
84,2.6489921367556235E-12,3.136526594005318E-10,7.321449224662047E-11
85,2.6489921367556235E-12,2.8923841099981473E-10,5.264547020544796E-11
86,1.4912515666765103E-12,1.162900886697571E-10,3.4620164512944026E-11
87,1.4912515666765103E-12,9.369305331574651E-11,2.4656063857264597E-11
88,1.4508394485801546E-12,9.369305331574651E-11,1.810120942025151E-11
89,9.960920976936904E-13,9.369305331574651E-11,1.3690080180595032E-11
90,6.235012506294879E-13,6.789724338318592E-11,1.041829733594568E-11
91,3.965716643961059E-13,4.880584825173173E-11,7.275335889289636E-12
92,1.98507876802978E-13,2.206190785614126E-11,5.079696663301547E-12
93,9.325873406851315E-14,1.1828760193566268E-11,3.446727347977685E-12
94,9.325873406851315E-14,1.1828760193566268E-11,2.5030466588304988E-12
95,9.325873406851315E-14,7.220002373742318E-12,1.8493651054996006E-12
96,9.325873406851315E-14,2.942091015256665E-12,1.0957101892472566E-12
97,8.881784197001252E-15,2.7142732506035827E-12,8.009504171013759E-13
98,8.881784197001252E-15,2.5646151868841116E-12,6.265032936880743E-13
99,8.881784197001252E-15,1.0236256287043943E-12,4.546851783970851E-13
100,3.552713678800501E-15,9.370282327836321E-13,2.8562041620716626E-13
