sweep_parameter,sweep_wert,variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
node_add_prob,0.1,V1,1,1,6,6,6,0.2464,48,1,51,51,52,43.94113,48,8,22,1000,2.8,0.5,0.1,49.2
node_add_prob,0.1,V1,1,1,7,7,7,0.2896,50,0,,,100,19.84113,,6,28,1000,2.8,0.5,0.1,92.4
node_add_prob,0.1,V1,1,1,8,8,8,0.24,48,1,56,56,57,43.94113,58,5,8,1000,2.8,0.5,0.1,51.7
node_add_prob,0.1,V1,1,1,9,9,9,0.2272,48,1,6,6,7,43.94113,48,5,26,1000,2.8,0.5,0.1,7.1
node_add_prob,0.5,V1,1,1,0,0,0,0.2432,50,0,,,100,14.28574,,23,25,1000,2.8,0.5,0.5,122.1
node_add_prob,0.5,V1,1,1,1,1,1,0.2656,48,0,,,100,20.94113,,9,26,1000,2.8,0.5,0.5,115.1
node_add_prob,0.5,V1,1,1,2,2,2,0.2528,48,1,15,15,16,43.94113,52,11,25,1000,2.8,0.5,0.5,17.2
node_add_prob,0.5,V1,1,1,3,3,3,0.2336,48,1,12,12,13,43.94113,48,7,15,1000,2.8,0.5,0.5,13.8
node_add_prob,0.5,V1,1,1,4,4,4,0.2256,48,0,,,100,20.94113,,18,19,1000,2.8,0.5,0.5,115.1
node_add_prob,0.5,V1,1,1,5,5,5,0.2624,48,1,3,3,4,43.94113,48,6,36,1000,2.8,0.5,0.5,4.1
node_add_prob,0.5,V1,1,1,6,6,6,0.2464,48,1,23,23,24,43.94113,48,10,14,1000,2.8,0.5,0.5,25.7
node_add_prob,0.5,V1,1,1,7,7,7,0.2896,50,0,,,100,20.04113,,8,13,1000,2.8,0.5,0.5,113.6
node_add_prob,0.5,V1,1,1,8,8,8,0.24,48,1,49,49,50,43.94113,52,16,20,1000,2.8,0.5,0.5,50.6
node_add_prob,0.5,V1,1,1,9,9,9,0.2272,48,1,4,4,5,43.94113,48,6,30,1000,2.8,0.5,0.5,5.1
